ID	VARDAS PAVARDĖ	Sąrašas	Numeris sąraše	Porinkiminis numeris	Vienmandatė apygarda	Iškėlė vienmandatėje	Turas	Privalomas registruoti turtas (Eur)	Vertybiniai popieriai, meno kūriniai, juvelyriniai dirbiniai (Eur)	Piniginės lėšos (Eur)	Suteiktos paskolos (Eur)	Gautos paskolos (Eur)	Gautų pajamų suma (GPM305 formos 12, 13, 14 ir GPM305V formos V14 laukelių suma) (Eur)	Išskaičiuota (sumokėta) pajamų mokesčio suma (GPM305 formos 27, 28, 30 laukelių suma) (Eur)	Nuoroda į VRK psl.			
814	ANDRIUS NAVICKAS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	31	-	43. Kėdainių	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	80160	0	3286	0	0	15293,78	2294	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104130.0%26rnkId%3D426			
815	RAMŪNAS NAVICKAS	8. Darbo partija	124	-			I	102186	0	0	0	25374	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101492.0%26rnkId%3D426			
816	VYTAUTAS NAVICKAS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	88	-			I	900	0	21763	0	1977	14320,67	2012	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104258.0%26rnkId%3D426			
817	MONIKA NAVICKIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	25	-	10. Naujosios Vilnios	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	79000	450	8178	0	110000	17408,63	2503	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104098.0%26rnkId%3D426			
818	AIDA NAVIKAITĖ-BAGUŠAUSKIENĖ			-	62. Jurbarko-Pagėgių	Lietuvos centro partija	I	0	0	0	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D43.0%26rnkId%3D426			
819	ALEKSANDRAS NEBOGINAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	88	-			I	0	0	0	0	0	6863,75	619	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104688.0%26rnkId%3D426			
820	DARIUŠ NEDVECKIS	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	123	-			I	183000	0	0	0	21700	15819	2334	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103100.0%26rnkId%3D426			
821	ARVYDAS NEKROŠIUS	6. Lietuvos valstiečių ir žaliųjų sąjunga	68	-	42. Raseinių-Kėdainių	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	1000	0	0	0	0	9508,75	1363	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102498.0%26rnkId%3D426			
822	ANDREJ NEMEC	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	65	-			I	12900	0	11600	0	0	68,63	2	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103214.0%26rnkId%3D426			
823	LINA NEMEIKŠIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	66	-			I	95841	0	0	0	82376	27747,93	3383	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102618.0%26rnkId%3D426			
824	KĘSTUTIS NĖNIUS	3. Lietuvos laisvės sąjunga (liberalai)	18	-	30. Alytaus	3. Lietuvos laisvės sąjunga (liberalai)	I	315600	132805	122848	0	0	77183,39	10800	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102788.0%26rnkId%3D426			
825	ANTANAS NESTECKIS	1. Lietuvos socialdemokratų partija	46	-	66. Garliavos	1. Lietuvos socialdemokratų partija	I	49412	0	109706	37390	0	37006,52	5438	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103796.0%26rnkId%3D426			
826	GITANA NEVULIENĖ			-	3. Antakalnio	Lietuvos centro partija	I	37280	0	0	0	0	9360,1	1011	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104602.0%26rnkId%3D426			
827	PETRAS NEVULIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	19	-			I	139845	0	12165	0	61961	273626,52	156	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102620.0%26rnkId%3D426			
828	APOLINARAS NICIUS	7. Lietuvos Respublikos liberalų sąjūdis	17	-			I	35750	0	13700	0	5300	35873,77	4631	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103560.0%26rnkId%3D426			
829	MARTYNAS NORBUTAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	99	-			I	32269	2460	34440	0	43035	43309,48	139	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102568.0%26rnkId%3D426			
830	VIRGINIJUS NOREIKA	1. Lietuvos socialdemokratų partija	132	-			I	37000	0	19254	0	0	11035,71	1651	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103970.0%26rnkId%3D426			
831	JOANA NOREIKAITĖ	13. Politinė partija „Lietuvos sąrašas“	32	-			I	82600	0	0	0	0	194,41	15	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104402.0%26rnkId%3D426			
832	EDGARAS NORGELA	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	122	-			I	800	0	0	0	3000	8786,46	962	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104240.0%26rnkId%3D426			
833	AUŠRINĖ NORKIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	53	-	34. Tauragės	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	67428	0	20584	0	36000	67473,02	4311	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102486.0%26rnkId%3D426			
834	KASTYTIS NORMANTAS	13. Politinė partija „Lietuvos sąrašas“	33	-			I	20466	0	2754	0	0	106,77	15	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104408.0%26rnkId%3D426			
835	MARIUS NORVAIŠA	1. Lietuvos socialdemokratų partija	86	-			I	87300	0	10893	0	43951	13405,06	1975	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103868.0%26rnkId%3D426			
836	VIDMANTAS NORVAIŠAS	1. Lietuvos socialdemokratų partija	119	-			I	6000	1448	13800	0	0	14134,95	1955	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103912.0%26rnkId%3D426			
837	AUŠRA NORVILIENĖ	7. Lietuvos Respublikos liberalų sąjūdis	82	-			I	34100	0	5000	0	24800	9993,77	1388	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103614.0%26rnkId%3D426			
838	LAIMONAS NORVILIS	5. Partija Tvarka ir teisingumas	131	-			I	1738	0	15067	0	36107	26308,36	3756	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102364.0%26rnkId%3D426			
839	SIGUTIS OBELEVIČIUS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	59	-			I	8650	0	6359	0	288	33031,7	4846	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104216.0%26rnkId%3D426			
840	JEŽY OBLOČINSKI	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	55	-			I	63834	0	41577	0	0	8928,04	1253	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103134.0%26rnkId%3D426			
841	LAURYNAS OKOCKIS	12. Lietuvos žaliųjų partija	3	-	1. Naujamiesčio	12. Lietuvos žaliųjų partija	I	2000	21000	5000	0	0	10603,96	1465	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103990.0%26rnkId%3D426			
842	JUOZAS OLEKAS	1. Lietuvos socialdemokratų partija	4	-	63. Sūduvos	1. Lietuvos socialdemokratų partija	I	333724	1738	15555	0	45634	71528,07	6473	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103828.0%26rnkId%3D426			
843	ALGIMANTAS OLENDRA	3. Lietuvos laisvės sąjunga (liberalai)	43	-	33. Pietų Žemaitijos	3. Lietuvos laisvės sąjunga (liberalai)	I	21939	0	2575	0	0	15294,95	1983	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102832.0%26rnkId%3D426			
844	MICHAIL OLISOV	3. Lietuvos laisvės sąjunga (liberalai)	55	-			I	154078	0	2000	0	37489	28083,73	4126	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102916.0%26rnkId%3D426			
845	DIJANA OLSSON	3. Lietuvos laisvės sąjunga (liberalai)	46	-	62. Jurbarko-Pagėgių	3. Lietuvos laisvės sąjunga (liberalai)	I	0	0	9770	0	0	9770	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102848.0%26rnkId%3D426			
846	ČESLAV OLŠEVSKI			-	57. Medininkų	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	I	2170	0	20000	0	0	30186,87	4474	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103036.0%26rnkId%3D426			
847	STANISLAV OLŠEVSKI	3. Lietuvos laisvės sąjunga (liberalai)	70	-			I	9422	0	2089	0	0	671,4	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102980.0%26rnkId%3D426			
848	JAROSLAV OLŠEVSKIJ	8. Darbo partija	121	-			I	1500	0	0	0	0	9115,9	1217	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101494.0%26rnkId%3D426			
849	GEDIMINAS ONAITIS	5. Partija Tvarka ir teisingumas	28	-	21. Marių	5. Partija Tvarka ir teisingumas	I	182075	0	0	0	229070	48193,1	4945	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102176.0%26rnkId%3D426			
850	ARTŪRAS ORLAUSKAS	3. Lietuvos laisvės sąjunga (liberalai)	13	-	18. Panemunės	3. Lietuvos laisvės sąjunga (liberalai)	I	117324	0	73352	7125	70000	20207	1053	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102786.0%26rnkId%3D426			
851	REMIGIJUS OSAUSKAS	7. Lietuvos Respublikos liberalų sąjūdis	15	-	60. Jonavos	7. Lietuvos Respublikos liberalų sąjūdis	I	40500	29	0	0	7210	11060,63	1603	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103526.0%26rnkId%3D426			
852	EDUARDAS PABARČIUS	7. Lietuvos Respublikos liberalų sąjūdis	41	-			I	161496	0	31394	0	0	49394,68	4106	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103570.0%26rnkId%3D426			
853	ALGIMANTA PABEDINSKIENĖ	8. Darbo partija	23	-	63. Sūduvos	8. Darbo partija	I	84379	0	16441	0	14122	36878,6	5427	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100628.0%26rnkId%3D426			
854	JUOZAS PABRĖŽA	6. Lietuvos valstiečių ir žaliųjų sąjunga	67	-			I	61973	4500	23628	0	0	22660,23	3397	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102630.0%26rnkId%3D426			
855	ALVYDAS PADRIEZAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	65	-			I	51500	0	0	0	0	7540,32	970	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104654.0%26rnkId%3D426			
856	ALGIS PADVELSKIS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	35	-	68. Vilkaviškio	Lietuvos centro partija	I	205000	3500	23000	0	0	8793,53	921	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104532.0%26rnkId%3D426			
857	JULIUS PAGOJUS	1. Lietuvos socialdemokratų partija	68	-	9. Lazdynų	1. Lietuvos socialdemokratų partija	I	74323	0	45000	1448	0	28695,75	4279	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103778.0%26rnkId%3D426			
858	JONAS PAIČIUS	12. Lietuvos žaliųjų partija	22	-			I	34518	4923	10516	0	0	16933,04	1263	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104030.0%26rnkId%3D426			
859	KĘSTUTIS PAKALNIS	3. Lietuvos laisvės sąjunga (liberalai)	58	-			I	147312	97747	96258	35000	50194	148287,1	13843	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102936.0%26rnkId%3D426			
860	LUKAS PAKELTIS	7. Lietuvos Respublikos liberalų sąjūdis	13	-	49. Anykščių-Panevėžio	7. Lietuvos Respublikos liberalų sąjūdis	I	99000	17376	15980	0	40505	67750,21	9326	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103504.0%26rnkId%3D426			
861	ALGIRDAS PALECKIS			-	10. Naujosios Vilnios	Išsikėlė pats	I	131000	0	486	0	0	2320,02	263	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1098390.0%26rnkId%3D426			
862	EUGENIJUS PALIOKAS	10. Lietuvos liaudies partija	8	-	3. Antakalnio	10. Lietuvos liaudies partija	I	55572	7210	2500	0	0	11304,37	1696	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103310.0%26rnkId%3D426			
863	IRENA PALIONIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	76	-			I	224000	0	50544	0	0	19502,23	2769	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104248.0%26rnkId%3D426			
864	ANDRIUS PALIONIS	1. Lietuvos socialdemokratų partija	38	-	67. Prienų-Birštono	1. Lietuvos socialdemokratų partija	I	194707	23314	29000	0	35460	30492,53	4466	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103728.0%26rnkId%3D426			
865	RAIMUNDAS PALIUKAS	8. Darbo partija	29	-	20. Baltijos	8. Darbo partija	I	297000	5908	44593	0	0	34004,09	5087	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100602.0%26rnkId%3D426			
866	VIDMANTAS PALIULIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	90	-			I	6532	0	554	0	0	8795,95	1058	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102648.0%26rnkId%3D426			
867	KRISTIJONAS PALIUTIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	114	-	34. Tauragės	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	33400	4244	3683	0	55937	16053,08	2074	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104116.0%26rnkId%3D426			
868	RYTAS PALTANAVIČIUS	7. Lietuvos Respublikos liberalų sąjūdis	65	-			I	15790	2110	15000	10000	7000	14084,98	1855	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103598.0%26rnkId%3D426			
869	DANAS PALUCKAS	1. Lietuvos socialdemokratų partija	106	-			I	43791	0	32000	0	59891	22710,06	3001	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103896.0%26rnkId%3D426			
870	GINTAUTAS PALUCKAS	1. Lietuvos socialdemokratų partija	41	-	5. Fabijoniškių	1. Lietuvos socialdemokratų partija	I	196000	24000	7000	0	73000	22730,03	3133	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103730.0%26rnkId%3D426			
871	KĘSTUTIS PALUJANSKAS	8. Darbo partija	115	-			I	78200	0	2000	0	0	21757,8	1063	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101496.0%26rnkId%3D426			
872	JULIUS PANKA	5. Partija Tvarka ir teisingumas	21	-	4. Žirmūnų	5. Partija Tvarka ir teisingumas	I	26000	0	1200	0	27500	6843,91	660	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102146.0%26rnkId%3D426			
873	JUSTAS PANKAUSKAS	1. Lietuvos socialdemokratų partija	19	-	43. Kėdainių	1. Lietuvos socialdemokratų partija	I	115725	0	0	0	151952	24839,78	3672	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103740.0%26rnkId%3D426			
874	EGIDIJUS PAPEČKYS	7. Lietuvos Respublikos liberalų sąjūdis	141	-	68. Vilkaviškio	7. Lietuvos Respublikos liberalų sąjūdis	I	15700	0	2221	0	7819	20933,89	2339	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103536.0%26rnkId%3D426			
875	AUŠRA PAPIRTIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	38	-	15. Kalniečių	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	32000	0	0	0	10676	12103,55	1101	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102440.0%26rnkId%3D426			
876	JOLANTA PATAMSIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	68	-			I	57000	0	0	0	0	7650	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104646.0%26rnkId%3D426			
877	RIMA PAUKŠTELIENĖ	10. Lietuvos liaudies partija	17	-	62. Jurbarko-Pagėgių	10. Lietuvos liaudies partija	I	25000	0	0	0	0	1933,91	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103320.0%26rnkId%3D426			
878	JOLANTA PAUKŠTIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	27	-	50. Sėlos	3. Lietuvos laisvės sąjunga (liberalai)	I	44069	0	2438	0	5033	13754,86	1981	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102802.0%26rnkId%3D426			
879	ARTŪRAS PAULAUSKAS	8. Darbo partija	2	-	5. Fabijoniškių	8. Darbo partija	I	60900	87593	121562	0	0	39423,41	5806	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100616.0%26rnkId%3D426			
880	BENEDIKTAS PAULAUSKAS	5. Partija Tvarka ir teisingumas	97	-			I	39290	14922	93800	0	0	7306,54	771	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102312.0%26rnkId%3D426			
881	DAINIUS PAULAUSKAS	8. Darbo partija	93	-			I	38967	5542	3000	11328	63716	7723,73	290	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101498.0%26rnkId%3D426			
882	ROLANDAS PAULAUSKAS	10. Lietuvos liaudies partija	1	-	13. Centro-Žaliakalnio	10. Lietuvos liaudies partija	I	261000	240000	48800	0	78000	58444,71	6492	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103314.0%26rnkId%3D426			
883	KRISTINA PAULIKĖ	13. Politinė partija „Lietuvos sąrašas“	3	-	21. Marių	13. Politinė partija „Lietuvos sąrašas“	I	0	0	2000	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104360.0%26rnkId%3D426			
884	MINDAUGAS PAULIUKAS			-	44. Radviliškio	Išsikėlė pats	I	2500	0	3000	0	6000	18283,39	2527	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101544.0%26rnkId%3D426			
885	BRONIUS PAUŽA	1. Lietuvos socialdemokratų partija	26	-	62. Jurbarko-Pagėgių	1. Lietuvos socialdemokratų partija	I	150189	14481	63876	0	0	41797,33	5971	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103826.0%26rnkId%3D426			
886	DAINIUS PAVALKIS	1. Lietuvos socialdemokratų partija	77	-	13. Centro-Žaliakalnio	1. Lietuvos socialdemokratų partija	I	90625	12847	10308	0	31425	35105,03	4431	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103760.0%26rnkId%3D426			
887	MARIJA AUŠRINĖ PAVILIONIENĖ	1. Lietuvos socialdemokratų partija	25	-	2. Senamiesčio	1. Lietuvos socialdemokratų partija	I	252423	0	47270	0	0	37825,15	5672	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103808.0%26rnkId%3D426			
888	ŽYGIMANTAS PAVILIONIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	18	-	1. Naujamiesčio	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	106449	0	23357	0	22328	28249,59	3908	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104062.0%26rnkId%3D426			
889	TADEUŠAS PAVLOVSKIS	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	56	-			I	56003	463	6000	0	0	17294,67	2581	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103102.0%26rnkId%3D426			
890	ROMAS PAVOLAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	58	-	9. Lazdynų	Lietuvos centro partija	I	54000	0	17951	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104540.0%26rnkId%3D426			
891	SAULIUS PEČELIŪNAS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	39	-			I	62880	0	45000	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104244.0%26rnkId%3D426			
892	VYTAUTAS PEČIŪRA	9. „Drąsos kelias“ politinė partija	10	-			I	119700	0	11693	0	10000	6322,95	633	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102700.0%26rnkId%3D426			
893	ALICIJA PESLIAK	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	61	-			I	15750	0	2000	0	0	11585,12	1684	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103044.0%26rnkId%3D426			
894	RITA PETKEVIČIENĖ	7. Lietuvos Respublikos liberalų sąjūdis	110	-			I	33000	0	10000	0	0	2755,3	82	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103686.0%26rnkId%3D426			
895	ROMUALDAS PETKEVIČIUS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	92	-			I	32000	0	5000	0	0	2879,57	111	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104638.0%26rnkId%3D426			
896	SAULIUS PETKEVIČIUS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	43	-			I	57400	0	35000	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101298.0%26rnkId%3D426			
897	ALMANTAS PETKUS	5. Partija Tvarka ir teisingumas	12	-	8. Karoliniškių	5. Partija Tvarka ir teisingumas	I	97610	56269	10000	0	272650	36907,05	5092	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102268.0%26rnkId%3D426			
898	KĘSTUTIS PETKUS	5. Partija Tvarka ir teisingumas	130	-			I	32568	0	18000	0	0	17530,36	2522	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102334.0%26rnkId%3D426			
